evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
1700,1700,0.11377303690166925,0.5093889757556681,0.8986057929473357,0.0,2.4457598611080082,0.5398515261656606,5.053175147332352E-5,0.1,-86.59238761813359,-0.48119449839585837,1,"[5.053175147332352E-5]","[0.5093889757556681]","[0.8986057929473357]","[0.0]","[0.10298903551143579]","[2.4457598611080082]","[0.1]","[-86.59238761813359]","[0.11377303690166925]","[175.6367175912249]","[100]","[-0.48119449839585837]","[1.2212396178810214]","[100]","[0.0]","[10]","[-896973523466995819]","[0.5398515261656606]","[10]"
1700,1700,0.47936918787462657,0.7095224929946233,0.2392874572493307,0.04294023690093464,3.2062602191605043,0.46856295582009605,4.906525052638315E-5,62.17127038470612,-556.8638020683208,-0.23312597633554688,1,"[4.906525052638315E-5]","[0.7095224929946233]","[0.2392874572493307]","[3.3636578132912194E-7]","[0.11101736195043284]","[3.2062602191605043]","[62.17127038470612]","[-556.8638020683208]","[0.47936918787462657]","[586.4656181258314]","[100]","[-0.23312597633554688]","[0.1558288499475046]","[100]","[0.04294023690093464]","[10]","[2199131786582636105]","[0.46856295582009605]","[10]"
1700,1700,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-294.7645548389975,-0.12282201471562705,8,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7,4.0792075532958994E-7,5.255195316408239E-7,4.373204494073986E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172,0.10774727145239502,0.1103067690044323,0.10438782718979639]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393,-252.17803212694454,-362.9973932546802,-239.87523128486868]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502,391.5707039253681,450.89499109114666,363.5439296490972]","[100,100,100,100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576,-0.08611088519803266,-0.16087195246263494,-0.1187170586626777]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569,0.6573803210030037,0.47063230998187255,1.30244552569155]","[100,100,100,100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718,7848105053841171450,-6336422892542089631,-3876261407975752502]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10,10,10,10]"
1700,1700,1.2654661309534434,0.0,0.054773141155463986,0.07026735202465058,1.4829040979718735,0.44119626451509353,6.972742664513135E-5,82.90258739795657,-235.29815886540644,-0.423129151200316,5,"[6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5]","[0.0,0.0,0.0,0.0,0.0]","[0.054773141155463986,0.054773141155463986,0.054773141155463986,0.054773141155463986,0.054773141155463986]","[8.11315285305833E-7,9.361330215067303E-7,6.968990271216775E-7,8.165160243142039E-7,9.153300654732474E-7]","[0.10475603183805662,0.10703312121997412,0.10331004047829435,0.10688205707601303,0.10475351766866352]","[1.4829040979718735,1.4829040979718735,1.4829040979718735,1.4829040979718735,1.4829040979718735]","[82.90258739795657,82.90258739795657,82.90258739795657,82.90258739795657,82.90258739795657]","[-235.29815886540644,-242.98384294646746,-219.69863224890977,-257.24570825640865,-232.4168772255889]","[1.2654661309534434,1.2654661309534434,1.2654661309534434,1.2654661309534434,1.2654661309534434]","[353.44223926261077,396.00190377111085,370.50607868423094,370.3065860578965,420.5763468797622]","[100,100,100,100,100]","[-0.423129151200316,-0.4285353165407943,-0.40823447821613923,-0.46673289062190937,-0.4212298750003516]","[0.9329521986927061,0.7540860407654432,1.0406712258446107,0.8124220206754359,0.8472879806180141]","[100,100,100,100,100]","[0.07026735202465058,0.07026735202465058,0.07026735202465058,0.07026735202465058,0.07026735202465058]","[10,10,10,10,10]","[-3021788178455385180,-7215480272587245736,-345704504687451606,7593284036313923543,4217557843310427737]","[0.44119626451509353,0.44119626451509353,0.44119626451509353,0.44119626451509353,0.44119626451509353]","[10,10,10,10,10]"
1700,1700,0.8129560794476042,0.8248642047356256,0.4092484052916704,0.025347214862802968,0.0,0.1978572282919104,4.5060649636392185E-5,0.1,-166.9086373931333,-0.45355067253386105,2,"[4.5060649636392185E-5,4.5060649636392185E-5]","[0.8248642047356256,0.8248642047356256]","[0.4092484052916704,0.4092484052916704]","[0.0,0.0]","[0.0958867963323614,0.10245190586692073]","[0.0,0.0]","[0.1,0.1]","[-173.31715434540058,-160.50012044086603]","[0.8129560794476042,0.8129560794476042]","[316.1853376261296,351.4699432649348]","[100,100]","[-0.4716697488848243,-0.43543159618289784]","[1.0605675205392444,1.0863859964245417]","[100,100]","[0.025347214862802968,0.025347214862802968]","[10,10]","[-7665472305613326272,-1063470684752629902]","[0.1978572282919104,0.1978572282919104]","[10,10]"
1700,1700,0.4905342574917718,0.7380806394327595,0.5081233985279351,0.9781760838215807,0.0,0.7689542015851188,6.575783227680366E-5,8.860843604988498,-143.2156699758265,-0.4753507225756566,1,"[6.575783227680366E-5]","[0.7380806394327595]","[0.5081233985279351]","[1.2762838904147732E-8]","[0.10277371489400469]","[0.0]","[8.860843604988498]","[-143.2156699758265]","[0.4905342574917718]","[306.80756949043626]","[100]","[-0.4753507225756566]","[0.8395891604698956]","[100]","[0.9781760838215807]","[10]","[4743120015253448753]","[0.7689542015851188]","[10]"
1700,1700,0.49375491391851556,0.7504825990793468,0.5398250838240951,1.0,0.0,0.734474127213356,6.705119361332323E-5,0.1,-48.88587259282784,-0.45717386487927375,5,"[6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5]","[0.7504825990793468,0.7504825990793468,0.7504825990793468,0.7504825990793468,0.7504825990793468]","[0.5398250838240951,0.5398250838240951,0.5398250838240951,0.5398250838240951,0.5398250838240951]","[0.0,0.0,0.0,0.0,0.0]","[0.09703418588166128,0.09732126668262857,0.09313232338351832,0.09846746946736443,0.1034731639748627]","[0.0,0.0,0.0,0.0,0.0]","[0.1,0.1,0.1,0.1,0.1]","[-33.71076779776711,-48.88587259282784,-66.03688894763641,26.98538453064205,-50.48721647643565]","[0.49375491391851556,0.49375491391851556,0.49375491391851556,0.49375491391851556,0.49375491391851556]","[220.63894098164502,197.0262184646307,276.6759678407815,28.13638697911794,107.56365100751661]","[100,100,100,100,100]","[-0.45717386487927375,-0.46258444895108974,-0.46109168281139257,-0.4500389313946884,-0.43139200980006726]","[1.3841919568185346,1.7328074074063995,1.1388767615692175,5.0658106898993385,1.4145211924870116]","[100,100,100,100,100]","[1.0,1.0,1.0,1.0,1.0]","[10,10,10,10,10]","[5470826533171671954,7654370181974372439,6444315195477998875,-6243291593622642144,8723877391945218945]","[0.734474127213356,0.734474127213356,0.734474127213356,0.734474127213356,0.734474127213356]","[10,10,10,10,10]"
1700,1700,0.8509882135146503,0.6593128174886996,0.28886133803226144,0.00897738914476266,0.014785962546302114,0.4307683050197956,4.80785594639751E-5,0.2350376568649945,-124.65262733211878,-0.44122522655591434,5,"[4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5]","[0.6593128174886996,0.6593128174886996,0.6593128174886996,0.6593128174886996,0.6593128174886996]","[0.28886133803226144,0.28886133803226144,0.28886133803226144,0.28886133803226144,0.28886133803226144]","[0.0,0.0,0.0,0.0,0.0]","[0.0983393616526676,0.10151973741059976,0.09571491503884484,0.1026701657466678,0.0960233310015718]","[0.014785962546302114,0.014785962546302114,0.014785962546302114,0.014785962546302114,0.014785962546302114]","[0.2350376568649945,0.2350376568649945,0.2350376568649945,0.2350376568649945,0.2350376568649945]","[-124.65262733211878,-86.75355881510171,-143.4267689078402,-127.63933724484839,-73.33368554333589]","[0.8509882135146503,0.8509882135146503,0.8509882135146503,0.8509882135146503,0.8509882135146503]","[292.55352706654867,290.3104382196491,339.9697102671518,362.2455172622589,194.4362220810571]","[100,100,100,100,100]","[-0.44432256909275997,-0.3503079212627226,-0.4323016851967034,-0.44122522655591434,-0.4612752229118707]","[1.0916023993712267,1.6906639403972712,0.9979306542565447,1.6646201862175136,1.2693523752669829]","[100,100,100,100,100]","[0.00897738914476266,0.00897738914476266,0.00897738914476266,0.00897738914476266,0.00897738914476266]","[10,10,10,10,10]","[-1784404642947680697,3174908265761841904,7307041637271057478,-4255401945310153957,7163247099890612162]","[0.4307683050197956,0.4307683050197956,0.4307683050197956,0.4307683050197956,0.4307683050197956]","[10,10,10,10,10]"
1700,1700,0.8740956852803405,0.705163942459195,0.3846228859489676,0.010724522961556852,0.383497668403311,0.4161469623431779,4.832488059424538E-5,0.1,-202.5509761022821,-0.4489401132267807,3,"[4.832488059424538E-5,4.832488059424538E-5,4.832488059424538E-5]","[0.705163942459195,0.705163942459195,0.705163942459195]","[0.3846228859489676,0.3846228859489676,0.3846228859489676]","[0.0,0.0,0.0]","[0.10346079592384211,0.10991249660421294,0.10994627523905937]","[0.383497668403311,0.383497668403311,0.383497668403311]","[0.1,0.1,0.1]","[-242.08467135581228,-197.8219058004146,-202.5509761022821]","[0.8740956852803405,0.8740956852803405,0.8740956852803405]","[370.0452522365698,273.2008535018569,298.4702914272752]","[100,100,100]","[-0.47683779955954053,-0.43361015415967163,-0.4489401132267807]","[0.9812639185360978,0.48715153096909225,0.5912955207100772]","[100,100,100]","[0.010724522961556852,0.010724522961556852,0.010724522961556852]","[10,10,10]","[-8486245178274240529,-2484577346422758603,4508661211889313832]","[0.4161469623431779,0.4161469623431779,0.4161469623431779]","[10,10,10]"
1700,1700,0.4414201099291719,0.708592515615188,0.2238436909390816,0.04881180983894619,3.208925725176077,0.4629499319711688,4.915882121694143E-5,59.22375391744562,-555.3371765908498,-0.3044010075347055,1,"[4.915882121694143E-5]","[0.708592515615188]","[0.2238436909390816]","[3.45059776640632E-7]","[0.11110958902670819]","[3.208925725176077]","[59.22375391744562]","[-555.3371765908498]","[0.4414201099291719]","[560.1461048734819]","[100]","[-0.3044010075347055]","[0.026702133611668667]","[100]","[0.04881180983894619]","[10]","[-4091506414486871254]","[0.4629499319711688]","[10]"
1700,1700,1.0347075038736389,0.7271517533475435,0.35568661597984186,0.01472781884894181,0.35436911168004936,0.4468316550433359,3.507376422889835E-5,0.1,-152.83242084215965,-0.47421804322069827,1,"[3.507376422889835E-5]","[0.7271517533475435]","[0.35568661597984186]","[0.0]","[0.09947439515689903]","[0.35436911168004936]","[0.1]","[-152.83242084215965]","[1.0347075038736389]","[373.393533816813]","[100]","[-0.47421804322069827]","[1.1283703362548347]","[100]","[0.01472781884894181]","[10]","[-3313990185562424448]","[0.4468316550433359]","[10]"
1700,1700,0.6723504624551065,0.6231293532457994,0.08990171106286723,0.01051974272083535,1.8697657470224125,0.3787312374789247,4.979507110736678E-5,75.2008812880826,-443.3942283472723,-0.4727746665720357,1,"[4.979507110736678E-5]","[0.6231293532457994]","[0.08990171106286723]","[4.46377219653646E-7]","[0.11082258675687941]","[1.8697657470224125]","[75.2008812880826]","[-443.3942283472723]","[0.6723504624551065]","[498.12353020564484]","[100]","[-0.4727746665720357]","[0.2516518336397843]","[100]","[0.01051974272083535]","[10]","[1554645036172157432]","[0.3787312374789247]","[10]"
1700,1700,0.1,0.9038421396321301,0.2267112668497237,0.03791516388394655,1.5959292232511078,0.07267304230200894,2.1574021476969814E-5,77.04298370366737,-464.93584533440026,-0.4458175291389195,2,"[2.1574021476969814E-5,2.1574021476969814E-5]","[0.9038421396321301,0.9038421396321301]","[0.2267112668497237,0.2267112668497237]","[1.1842442654052305E-7,1.3429789464824754E-7]","[0.11106206145912471,0.1110849787773551]","[1.5959292232511078,1.5959292232511078]","[77.04298370366737,77.04298370366737]","[-463.0703626002293,-466.8013280685712]","[0.1,0.1]","[492.26933519526455,491.22154179249213]","[100,100]","[-0.4614692798360013,-0.43016577844183773]","[0.15173495009299412,0.0996791265446749]","[100,100]","[0.03791516388394655,0.03791516388394655]","[10,10]","[-4105255288755179728,-8256795556288747869]","[0.07267304230200894,0.07267304230200894]","[10,10]"
1700,1700,0.6686028829912278,0.60836899631856,0.4367175036683264,0.07236008627111787,2.8660454863811244,0.4788773233085729,5.9982162352430906E-5,65.48536825718878,-534.6728832005299,-0.13755538790632882,2,"[5.9982162352430906E-5,5.9982162352430906E-5]","[0.60836899631856,0.60836899631856]","[0.4367175036683264,0.4367175036683264]","[5.129338457340696E-7,6.152364410051303E-7]","[0.11110959233152866,0.11109217793058133]","[2.8660454863811244,2.8660454863811244]","[65.48536825718878,65.48536825718878]","[-555.8088687905235,-513.5368976105361]","[0.6686028829912278,0.6686028829912278]","[561.2768464918883,523.7366782816667]","[100,100]","[-0.18849517064761717,-0.08661560516504048]","[0.02494495880111087,0.07987019253044825]","[100,100]","[0.07236008627111787,0.07236008627111787]","[10,10]","[-9194866620577076033,-1539025147821741325]","[0.4788773233085729,0.4788773233085729]","[10,10]"
1700,1700,0.5233167460110753,0.5308951797194189,0.3553802730345945,0.048269996443195365,3.1417920454649355,0.3759661537653752,5.092637868595903E-5,66.22697238454921,-520.9736061495531,-0.2776783540904281,5,"[5.092637868595903E-5,5.092637868595903E-5,5.092637868595903E-5,5.092637868595903E-5,5.092637868595903E-5]","[0.5308951797194189,0.5308951797194189,0.5308951797194189,0.5308951797194189,0.5308951797194189]","[0.3553802730345945,0.3553802730345945,0.3553802730345945,0.3553802730345945,0.3553802730345945]","[5.342045423419734E-7,4.1049401674698986E-7,5.004653080887962E-7,3.8612679200858403E-7,3.870639929600611E-7]","[0.11111058813469284,0.11110972135025252,0.11110915376412306,0.11111001249784438,0.1111109156126385]","[3.1417920454649355,3.1417920454649355,3.1417920454649355,3.1417920454649355,3.1417920454649355]","[66.22697238454921,66.22697238454921,66.22697238454921,66.22697238454921,66.22697238454921]","[-520.9736061495531,-478.01087346431996,-521.766613740045,-520.6590904814952,-522.5541326838215]","[0.5233167460110753,0.5233167460110753,0.5233167460110753,0.5233167460110753,0.5233167460110753]","[522.9086831456863,484.2235380381452,524.8406557945543,525.3674909562922,525.0039698742183]","[100,100,100,100,100]","[-0.25022104241093807,-0.2776783540904281,-0.2799468213417214,-0.15522503632991283,-0.3355230475789656]","[0.013586987414707614,0.02183758887540001,0.02890321588418872,0.01676414536444957,0.008344499728240189]","[100,100,100,100,100]","[0.048269996443195365,0.048269996443195365,0.048269996443195365,0.048269996443195365,0.048269996443195365]","[10,10,10,10,10]","[5829154092281836867,-303436605869151236,-1244695733163704693,-8305011031459680166,4249316965125012890]","[0.3759661537653752,0.3759661537653752,0.3759661537653752,0.3759661537653752,0.3759661537653752]","[10,10,10,10,10]"
