evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
1000,1000,0.6927530198270201,0.6096394482496451,0.47158706641406956,0.06398774854052108,2.9867760268484664,0.4824235171952736,5.5627781941224676E-5,49.159095773620734,-557.1622384315772,-0.17650022764540163,1,"[5.5627781941224676E-5]","[0.6096394482496451]","[0.47158706641406956]","[4.676179784245473E-7]","[0.11110690252187756]","[2.9867760268484664]","[49.159095773620734]","[-557.1622384315772]","[0.6927530198270201]","[561.2106402779211]","[100]","[-0.17650022764540163]","[0.04220646631770596]","[100]","[0.06398774854052108]","[10]","[-3183693051472403336]","[0.4824235171952736]","[10]"
1000,1000,0.1,0.47158223412036193,1.0,1.6837649872552675E-4,2.516782776834395,0.5139910459430256,5.583519086018194E-5,0.501922299252083,-51.86936930008576,-0.47780278858956404,1,"[5.583519086018194E-5]","[0.47158223412036193]","[1.0]","[0.0]","[0.09742138038928556]","[2.516782776834395]","[0.501922299252083]","[-51.86936930008576]","[0.1]","[223.6506075407178]","[100]","[-0.47780278858956404]","[1.4148501549361658]","[100]","[1.6837649872552675E-4]","[10]","[-6933952912550318560]","[0.5139910459430256]","[10]"
1000,1000,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-294.7645548389975,-0.12027684123869073,6,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7,4.0792075532958994E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172,0.10774727145239502]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393,-252.17803212694454]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502,391.5707039253681]","[100,100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576,-0.08611088519803266]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569,0.6573803210030037]","[100,100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718,7848105053841171450]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10,10]"
1000,1000,0.1,0.4309065529087108,0.6117462704842339,0.42010156678104815,0.0,0.9476424698109492,9.198286894438882E-5,0.1,17.66926011423194,-0.44037555436440634,4,"[9.198286894438882E-5,9.198286894438882E-5,9.198286894438882E-5,9.198286894438882E-5]","[0.4309065529087108,0.4309065529087108,0.4309065529087108,0.4309065529087108]","[0.6117462704842339,0.6117462704842339,0.6117462704842339,0.6117462704842339]","[0.0,0.0,0.0,0.0]","[0.08875792135031083,0.09819073817119268,0.09994729131207133,0.09420530919141899]","[0.0,0.0,0.0,0.0]","[0.1,0.1,0.1,0.1]","[28.04429786957202,13.445460535859382,21.893059692604496,1.5305793681519586]","[0.1,0.1,0.1,0.1]","[55.925573160728995,85.33544590624646,100.84635910634219,111.68374684016668]","[100,100,100,100]","[-0.4389715750266146,-0.3831727533423442,-0.44177953370219814,-0.4670446437599028]","[2.4625246075318015,2.3531040676304125,2.385503764788321,2.0638565633621906]","[100,100,100,100]","[0.42010156678104815,0.42010156678104815,0.42010156678104815,0.42010156678104815]","[10,10,10,10]","[8613751058384140813,4896773161431088031,-8156406334713058828,7207106751022539232]","[0.9476424698109492,0.9476424698109492,0.9476424698109492,0.9476424698109492]","[10,10,10,10]"
1000,1000,1.219317529760768,0.589509983731647,0.32507016684377793,0.001017862363387955,0.22178957210785477,0.5307539386026596,4.463047758946697E-5,32.655909702158226,-158.9424297472604,-0.4503585751668705,3,"[4.463047758946697E-5,4.463047758946697E-5,4.463047758946697E-5]","[0.589509983731647,0.589509983731647,0.589509983731647]","[0.32507016684377793,0.32507016684377793,0.32507016684377793]","[1.452904211681635E-7,1.7434850540179622E-7,2.4699371598587805E-7]","[0.09652835924137307,0.099697143936147,0.10437020374502377]","[0.22178957210785477,0.22178957210785477,0.22178957210785477]","[32.655909702158226,32.655909702158226,32.655909702158226]","[-142.26265210727013,-158.9424297472604,-217.63852209469178]","[1.219317529760768,1.219317529760768,1.219317529760768]","[428.68818559928695,362.0620921600978,371.7321272743703]","[100,100,100]","[-0.4503585751668705,-0.4667709937338984,-0.3643225725163321]","[1.397298996449724,1.2480678461311348,0.9625191256950897]","[100,100,100]","[0.001017862363387955,0.001017862363387955,0.001017862363387955]","[10,10,10]","[-3837626953231978590,-4465624459671193715,8151164093151853076]","[0.5307539386026596,0.5307539386026596,0.5307539386026596]","[10,10,10]"
1000,1000,0.4106529042276459,0.9663339446097938,0.592926017263757,0.9848114631091006,0.0,0.8850300120634655,6.04379883037421E-5,7.6573657082621684,-149.3417785045687,-0.3737696753852386,5,"[6.04379883037421E-5,6.04379883037421E-5,6.04379883037421E-5,6.04379883037421E-5,6.04379883037421E-5]","[0.9663339446097938,0.9663339446097938,0.9663339446097938,0.9663339446097938,0.9663339446097938]","[0.592926017263757,0.592926017263757,0.592926017263757,0.592926017263757,0.592926017263757]","[4.286463414781463E-8,2.3380709535171625E-8,7.533784183555293E-8,5.845177383792906E-9,3.117427938022883E-8]","[0.1031971555675683,0.0991371480342152,0.10869976026510632,0.08717748145682544,0.09900465981409381]","[0.0,0.0,0.0,0.0,0.0]","[7.6573657082621684,7.6573657082621684,7.6573657082621684,7.6573657082621684,7.6573657082621684]","[-172.53154340628694,-135.1541390715949,-371.0577930934861,-70.33111329178311,-149.3417785045687]","[0.4106529042276459,0.4106529042276459,0.4106529042276459,0.4106529042276459,0.4106529042276459]","[288.7013515390655,353.4612491042532,433.85936024344176,325.94864838127165,336.0118717290499]","[100,100,100,100,100]","[-0.3473588468372119,-0.4508044838420579,-0.2144845774538268,-0.4596467977275332,-0.3737696753852386]","[0.8266284050612448,1.1290050390937199,0.7712508556273562,1.3050824883654109,1.192286805029197]","[100,100,100,100,100]","[0.9848114631091006,0.9848114631091006,0.9848114631091006,0.9848114631091006,0.9848114631091006]","[10,10,10,10,10]","[-7127731147270277347,-1493255252419101104,-3557760869959358093,-3294195856608122120,5798392167151804599]","[0.8850300120634655,0.8850300120634655,0.8850300120634655,0.8850300120634655,0.8850300120634655]","[10,10,10,10,10]"
1000,1000,0.6332771011475244,0.48652349472280926,0.5104767882901693,0.04764239907569984,2.854316631487,0.43835572470074924,5.0348537706309586E-5,65.20689791332374,-531.1617869900779,-0.17023785156290053,2,"[5.0348537706309586E-5,5.0348537706309586E-5]","[0.48652349472280926,0.48652349472280926]","[0.5104767882901693,0.5104767882901693]","[4.831627958570191E-7,4.224444765915648E-7]","[0.11111052758193612,0.11110890324945247]","[2.854316631487,2.854316631487]","[65.20689791332374,65.20689791332374]","[-556.9281913056093,-505.39538267454645]","[0.6332771011475244,0.6332771011475244]","[560.8654686247173,509.12158975276134]","[100,100]","[-0.2823128147191395,-0.05816288840666158]","[0.013734002461288367,0.02869289582264415]","[100,100]","[0.04764239907569984,0.04764239907569984]","[10,10]","[-6400386624793628957,8471031726596142597]","[0.43835572470074924,0.43835572470074924]","[10,10]"
1000,1000,0.1,0.4822715257209974,0.8520832638562021,0.0,2.413659077711325,0.5434129456767554,5.3900064126289215E-5,0.6673773051867522,-114.15231458627285,-0.4513746841716642,3,"[5.3900064126289215E-5,5.3900064126289215E-5,5.3900064126289215E-5]","[0.4822715257209974,0.4822715257209974,0.4822715257209974]","[0.8520832638562021,0.8520832638562021,0.8520832638562021]","[0.0,0.0,2.088614224700583E-10]","[0.10069442789301769,0.10769606666735637,0.09444409525790162]","[2.413659077711325,2.413659077711325,2.413659077711325]","[0.6673773051867522,0.6673773051867522,0.6673773051867522]","[-114.15231458627285,-159.2788184773505,-99.26000564147006]","[0.1,0.1,0.1]","[222.86662240397123,233.7841960320059,281.6252023371462]","[100,100,100]","[-0.46862628865083616,-0.39970523069044706,-0.4513746841716642]","[1.2424081206399467,0.7209882204949574,0.9982819667033169]","[100,100,100]","[0.0,0.0,0.0]","[10,10,10]","[6231556852570730402,-327886248359384349,-6106807158228700020]","[0.5434129456767554,0.5434129456767554,0.5434129456767554]","[10,10,10]"
1000,1000,0.6846923410564607,0.5167658898266144,0.46290026648105886,0.008869283484391439,3.174542206882465,0.3777143613773438,1.4816697309634375E-5,63.86055046981882,-442.1665847820957,-0.36371824152264076,3,"[1.4816697309634375E-5,1.4816697309634375E-5,1.4816697309634375E-5]","[0.5167658898266144,0.5167658898266144,0.5167658898266144]","[0.46290026648105886,0.46290026648105886,0.46290026648105886]","[1.0934798945506703E-7,1.4979176637680416E-7,1.4080426039419588E-7]","[0.11105228962928772,0.11103421574066297,0.11017246909296081]","[3.174542206882465,3.174542206882465,3.174542206882465]","[63.86055046981882,63.86055046981882,63.86055046981882]","[-484.2077326004812,-442.1665847820957,-418.52862555556374]","[0.6846923410564607,0.6846923410564607,0.6846923410564607]","[503.2319267322769,457.19629416579374,472.9031880422683]","[100,100,100]","[-0.34445445671581765,-0.36371824152264076,-0.39642572128904435]","[0.15924632551422002,0.1727076983633613,0.5299053576123259]","[100,100,100]","[0.008869283484391439,0.008869283484391439,0.008869283484391439]","[10,10,10]","[8941486198387779884,7887947795376222995,-453560721961770318]","[0.3777143613773438,0.3777143613773438,0.3777143613773438]","[10,10,10]"
1000,1000,0.23170559313449188,0.5903962483292711,0.6856493533900889,0.0,1.835560631585833,0.5330369468175326,5.925821015542373E-5,0.1,-158.7295800155839,-0.473954667687587,2,"[5.925821015542373E-5,5.925821015542373E-5]","[0.5903962483292711,0.5903962483292711]","[0.6856493533900889,0.6856493533900889]","[0.0,0.0]","[0.09865730100975371,0.10954795219520305]","[1.835560631585833,1.835560631585833]","[0.1,0.1]","[-119.95494119370333,-197.50421883746446]","[0.23170559313449188,0.23170559313449188]","[289.7255323375333,319.5781707670304]","[100,100]","[-0.48858559639716415,-0.4593237389780099]","[0.9778354197928667,0.5786724148856256]","[100,100]","[0.0,0.0]","[10,10]","[3628927114364763973,-8709563220072613921]","[0.5330369468175326,0.5330369468175326]","[10,10]"
