evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
300,300,0.1590954690610818,0.5063501200198064,0.7942196803397267,0.0,2.4548151651309813,0.5557702998715736,5.7833618792044345E-5,0.1,-95.80628912392022,-0.47457803299225254,2,"[5.7833618792044345E-5,5.7833618792044345E-5]","[0.5063501200198064,0.5063501200198064]","[0.7942196803397267,0.7942196803397267]","[0.0,0.0]","[0.10425643560647097,0.10105102247616454]","[2.4548151651309813,2.4548151651309813]","[0.1,0.1]","[-120.63689372827857,-70.97568451956188]","[0.1590954690610818,0.1590954690610818]","[256.0120556448024,161.72870888387178]","[100,100]","[-0.47575843847573723,-0.4733976275087679]","[0.7967359347337503,1.533763734950043]","[100,100]","[0.0,0.0]","[10,10]","[-4443273301522989359,-5543489130923219848]","[0.5557702998715736,0.5557702998715736]","[10,10]"
300,300,0.15016153462992235,0.5957984705912309,0.38630916373048946,0.0159045925108745,2.7958384276039046,0.5017162968565794,4.999165494209928E-5,73.73197597996163,-539.8412457041626,-0.0,1,"[4.999165494209928E-5]","[0.5957984705912309]","[0.38630916373048946]","[2.7158252243021565E-7]","[0.11111111111111112]","[2.7958384276039046]","[73.73197597996163]","[-539.8412457041626]","[0.15016153462992235]","[539.8412457041626]","[100]","[-0.0]","[0.0]","[100]","[0.0159045925108745]","[10]","[4443953271683922634]","[0.5017162968565794]","[10]"
300,300,0.4106529042276459,0.9663339446097938,0.592926017263757,0.9848114631091006,0.0,0.8850300120634655,6.04379883037421E-5,7.6573657082621684,-153.84284123894093,-0.3990816653396349,2,"[6.04379883037421E-5,6.04379883037421E-5]","[0.9663339446097938,0.9663339446097938]","[0.592926017263757,0.592926017263757]","[4.286463414781463E-8,2.3380709535171625E-8]","[0.1031971555675683,0.0991371480342152]","[0.0,0.0]","[7.6573657082621684,7.6573657082621684]","[-172.53154340628694,-135.1541390715949]","[0.4106529042276459,0.4106529042276459]","[288.7013515390655,353.4612491042532]","[100,100]","[-0.3473588468372119,-0.4508044838420579]","[0.8266284050612448,1.1290050390937199]","[100,100]","[0.9848114631091006,0.9848114631091006]","[10,10]","[-7127731147270277347,-1493255252419101104]","[0.8850300120634655,0.8850300120634655]","[10,10]"
300,300,0.846239836015379,0.6300574793560904,0.25986205741600066,0.007712879155998718,2.6849930153724086,0.5440876923242819,4.828372266083763E-5,66.0433260653808,-527.6818077080875,-0.30119430081078,1,"[4.828372266083763E-5]","[0.6300574793560904]","[0.25986205741600066]","[5.265815172651438E-7]","[0.11108702158936462]","[2.6849930153724086]","[66.0433260653808]","[-527.6818077080875]","[0.846239836015379]","[536.8883271646639]","[100]","[-0.30119430081078]","[0.09294206547897783]","[100]","[0.007712879155998718]","[10]","[6162068010709459316]","[0.5440876923242819]","[10]"
300,300,0.8281459269331121,0.2866877079687652,0.5435996974924981,0.18355177470633482,3.6982954850670833,0.49698320462160056,4.35928493192686E-5,80.60486197184007,-231.1680986782066,-0.13931057093285262,3,"[4.35928493192686E-5,4.35928493192686E-5,4.35928493192686E-5]","[0.2866877079687652,0.2866877079687652,0.2866877079687652]","[0.5435996974924981,0.5435996974924981,0.5435996974924981]","[5.272252473854451E-7,5.229388632603603E-7,3.7505861094493054E-7]","[0.10110884075934884,0.10275773950651759,0.10129153805404097]","[3.6982954850670833,3.6982954850670833,3.6982954850670833]","[80.60486197184007,80.60486197184007,80.60486197184007]","[-242.46581325010376,-231.1680986782066,-198.65155179592608]","[0.8281459269331121,0.8281459269331121,0.8281459269331121]","[422.2003675400088,410.274738072821,434.42316879802803]","[100,100,100]","[-0.16215942999738076,-0.11826514059764363,-0.13931057093285262]","[0.9562132350959887,1.4392982562881624,1.3898073653528866]","[100,100,100]","[0.18355177470633482,0.18355177470633482,0.18355177470633482]","[10,10,10]","[-1011365434387093190,-632943627383097650,-39326046289055341]","[0.49698320462160056,0.49698320462160056,0.49698320462160056]","[10,10,10]"
300,300,0.1,0.4822715257209974,0.8520832638562021,0.0,2.413659077711325,0.5434129456767554,5.3900064126289215E-5,0.6673773051867522,-114.15231458627285,-0.46862628865083616,1,"[5.3900064126289215E-5]","[0.4822715257209974]","[0.8520832638562021]","[0.0]","[0.10069442789301769]","[2.413659077711325]","[0.6673773051867522]","[-114.15231458627285]","[0.1]","[222.86662240397123]","[100]","[-0.46862628865083616]","[1.2424081206399467]","[100]","[0.0]","[10]","[6231556852570730402]","[0.5434129456767554]","[10]"
300,300,0.5507751037310558,0.5122546199178044,0.35981230694787436,0.04623324490358405,3.0353891944547833,0.440355088777738,5.0289012451609174E-5,70.04108442869091,-467.4646322558792,-0.3894204609702059,1,"[5.0289012451609174E-5]","[0.5122546199178044]","[0.35981230694787436]","[5.532531613363638E-7]","[0.11111078547483146]","[3.0353891944547833]","[70.04108442869091]","[-467.4646322558792]","[0.5507751037310558]","[469.82290139175467]","[100]","[-0.3894204609702059]","[0.011575170130156107]","[100]","[0.04623324490358405]","[10]","[5506688079534108959]","[0.440355088777738]","[10]"
300,300,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-294.7645548389975,-0.12027684123869073,4,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876]","[100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825]","[100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10]"
300,300,0.8850000738941315,0.633503511038719,0.3507314417614838,0.025610071530151934,2.4262801479747647,0.5389849456600223,5.036646827515446E-5,66.70149356166135,-521.567253235867,-0.344584006125724,1,"[5.036646827515446E-5]","[0.633503511038719]","[0.3507314417614838]","[3.925976999251524E-7]","[0.11105330504019108]","[2.4262801479747647]","[66.70149356166135]","[-521.567253235867]","[0.8850000738941315]","[542.9170929318976]","[100]","[-0.344584006125724]","[0.1348322219327649]","[100]","[0.025610071530151934]","[10]","[-8367729343831919079]","[0.5389849456600223]","[10]"
300,300,0.41698581846303684,0.6644737550607289,0.2124833812634519,0.049024059295908334,2.678422518251273,0.4443494223425239,4.9151330705576135E-5,60.84525890064017,-502.69111880887476,-0.2880081432976266,2,"[4.9151330705576135E-5,4.9151330705576135E-5]","[0.6644737550607289,0.6644737550607289]","[0.2124833812634519,0.2124833812634519]","[3.5149445571095657E-7,3.5890142699988486E-7]","[0.1111073145646827,0.11110820172606484]","[2.678422518251273,2.678422518251273]","[60.84525890064017,60.84525890064017]","[-513.2643118106776,-492.1179258070719]","[0.41698581846303684,0.41698581846303684]","[520.3301163369499,499.8295482588423]","[100,100]","[-0.3475227149970403,-0.22849357159821287]","[0.043403751021341946,0.03537945053256374]","[100,100]","[0.049024059295908334,0.049024059295908334]","[10,10]","[-4660429621963607667,4663919844235455595]","[0.4443494223425239,0.4443494223425239]","[10,10]"
