evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
6300,6300,2.0,0.33111607051128455,0.08679102807939988,0.1550309866598347,2.2728983951390562,0.4224164838165603,6.12246871605499E-5,93.51149212462362,1643.9938385316636,-0.09312948890762875,22,"[6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5,6.12246871605499E-5]","[0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455,0.33111607051128455]","[0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988,0.08679102807939988]","[6.413507800291432E-7,7.635128333680271E-7,7.177020633659459E-7,9.31485656708993E-7,1.0536477100478777E-6,7.787830900353878E-7,8.245938600374693E-7,7.177020633659458E-7,6.413507800291431E-7,9.925666833784348E-7,8.09323603370109E-7,7.940533467027482E-7,6.871615500312247E-7,6.718912933638641E-7,5.191887266902588E-7,8.09323603370109E-7,7.940533467027483E-7,6.41350780029143E-7,6.718912933638642E-7,7.177020633659455E-7,5.955400100270616E-7,9.92566683378435E-7]","[0.0968852434711129,0.10180778675403865,0.1036244574803254,0.10384696898238259,0.10078941812081159,0.1001316247324687,0.09806899898510256,0.10290607318112044,0.10119185091201428,0.10203907588242762,0.10114527281443156,0.10384948556506372,0.10337911698169988,0.09711656598451945,0.09641348846948765,0.10223130283185437,0.10289946546823615,0.10253820954095488,0.1032261265906293,0.10187467172794476,0.10061960541899692,0.1024223019266452]","[2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562,2.2728983951390562]","[93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362,93.51149212462362]","[1500.9073887323912,1542.0685131627142,1684.382579049029,1569.2230287669925,1767.909274052968,1262.7516652123877,1864.2100549313877,1898.9441487860158,1508.262064998757,1492.301308089056,1453.042304170624,1900.458275702227,1785.2090131460534,1302.9597107019333,1844.787926713793,1591.309973871729,2015.39503304952,1603.6050980142982,1339.4464626495596,1717.7657543886417,1699.2858927275474,1735.39127873631]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[363.8299174331962,382.8109271586822,276.2796044202021,351.73695715071216,315.38340323137976,314.15010774573517,261.0513475152001,441.5042042377661,411.8449848474066,395.5428351027532,361.92194469054084,299.4413237494283,284.8259067157556,308.60538683265247,386.72359562226836,387.0985770081149,438.5137247366779,291.9348037809988,337.308750039104,451.8539759599929,372.5104454087339,320.2190556993311]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[-0.09080171086664172,-0.09792484806064182,-0.0984074061365557,-0.1048391342976324,-0.07107038507220245,-0.11058942208335802,-0.07130906440996511,-0.08745738929098117,-0.08860077869523236,-0.09468533369566122,-0.09928903297484871,-0.10269232759114179,-0.07807541259829608,-0.10578063477177257,-0.08133000885577862,-0.10111089168818058,-0.08479257516328265,-0.0841485002584578,-0.09630511012387898,-0.08804285489412474,-0.09157364411959627,-0.12859288492111481]","[11.833748145412212,12.557286996161281,21.129642709786765,16.235326486917458,16.408107260443025,12.524079527683037,17.07888073250525,15.059974285306478,11.201738104959826,14.09688484390883,12.27930329581172,26.145219804342638,21.166798849982314,10.308401504362745,12.072038198146549,13.946332107822675,16.13645576539022,19.067291325721595,14.631860599966764,11.601646709125697,12.794540838201499,17.275441905294894]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347,0.1550309866598347]","[10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]","[178598038476565867,370298017464922947,-3510728355174334839,-3459006612140183017,-8674026527072508939,6612967167381650504,-7261416203435988057,2764815375374694357,7244469167333981321,3361072856839139415,-8973168543392058941,-429028211500042351,6630699809102216212,5369498938988935185,-296623042280410409,6894546944663928602,6584067540613832928,7212513569900077100,-8156668788340609627,2151117765330811721,-6821376586235859103,-1847080944028861031]","[0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603,0.4224164838165603]","[10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]"
6300,6300,0.5229965781734699,0.9201484236556938,0.20898986582242687,0.05083072427146083,2.8131149028173668,0.4094427691973077,5.357682644942543E-5,60.48486941572719,-576.5918453982365,-0.13341263741320863,1,"[5.357682644942543E-5]","[0.9201484236556938]","[0.20898986582242687]","[3.9549880152335535E-7]","[0.1110964672409126]","[2.8131149028173668]","[60.48486941572719]","[-576.5918453982365]","[0.5229965781734699]","[585.6983542798113]","[100]","[-0.13341263741320863]","[0.0811299830434006]","[100]","[0.05083072427146083]","[10]","[3039739810304768715]","[0.4094427691973077]","[10]"
6300,6300,0.14869915285360455,0.5027041175940842,0.80831336462868,1.8312343731906853E-4,2.5778854457974636,0.0,0.0,0.1,236.858625796031,-0.4845051519833345,1,"[0.0]","[0.5027041175940842]","[0.80831336462868]","[0.0]","[0.10117275181388992]","[2.5778854457974636]","[0.1]","[236.858625796031]","[0.14869915285360455]","[-35.663237507293694]","[100]","[-0.4845051519833345]","[10.44343699889199]","[100]","[1.8312343731906853E-4]","[10]","[7667454365701055395]","[0.0]","[10]"
6300,6300,1.096803634043145,0.7013883191403221,0.32602008655282294,0.04753990440863605,0.0,0.36740670932646113,4.806485339909807E-5,2.354162639387892,-32.35835179808808,-0.46529845830701383,7,"[4.806485339909807E-5,4.806485339909807E-5,4.806485339909807E-5,4.806485339909807E-5,4.806485339909807E-5,4.806485339909807E-5,4.806485339909807E-5]","[0.7013883191403221,0.7013883191403221,0.7013883191403221,0.7013883191403221,0.7013883191403221,0.7013883191403221,0.7013883191403221]","[0.32602008655282294,0.32602008655282294,0.32602008655282294,0.32602008655282294,0.32602008655282294,0.32602008655282294,0.32602008655282294]","[0.0,1.8992169293097557E-8,0.0,0.0,0.0,7.596867717239022E-9,0.0]","[0.08897323446932796,0.10295251488025925,0.10111253124237521,0.1002707361769084,0.09857619731848422,0.09837000440904917,0.09777402803452415]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2.354162639387892,2.354162639387892,2.354162639387892,2.354162639387892,2.354162639387892,2.354162639387892,2.354162639387892]","[-70.09562281145898,-24.33912240808709,-32.35835179808808,-18.245814811793505,-46.97009296276255,-28.541850140083852,-58.72405381535543]","[1.096803634043145,1.096803634043145,1.096803634043145,1.096803634043145,1.096803634043145,1.096803634043145,1.096803634043145]","[260.43987400028163,244.8653324063559,232.4253064591672,204.58676179943015,311.91220240201096,233.30289289747498,222.9708680704892]","[100,100,100,100,100,100,100]","[-0.48196538166476305,-0.46529845830701383,-0.4469749697611588,-0.4665215214193779,-0.4259199241623952,-0.48172392251477175,-0.4354586532558796]","[1.1476028216954202,2.002798219399642,1.9502553613163354,2.3871307912362076,1.6116969292318417,1.6998256435535795,1.667428478523692]","[100,100,100,100,100,100,100]","[0.04753990440863605,0.04753990440863605,0.04753990440863605,0.04753990440863605,0.04753990440863605,0.04753990440863605,0.04753990440863605]","[10,10,10,10,10,10,10]","[-3426757058930202693,8759312720645039857,3635952358002272290,1432776434326486850,-6031699097301144668,1456249264965986666,9086657585286030569]","[0.36740670932646113,0.36740670932646113,0.36740670932646113,0.36740670932646113,0.36740670932646113,0.36740670932646113,0.36740670932646113]","[10,10,10,10,10,10,10]"
6300,6300,0.1222768481750742,0.9147665616985575,0.22925055086552254,0.03772788281651129,0.6859320335241786,0.04083889537452515,1.7292403925620392E-5,74.77548270741302,-388.6705213622029,-0.45260421379139315,6,"[1.7292403925620392E-5,1.7292403925620392E-5,1.7292403925620392E-5,1.7292403925620392E-5,1.7292403925620392E-5,1.7292403925620392E-5]","[0.9147665616985575,0.9147665616985575,0.9147665616985575,0.9147665616985575,0.9147665616985575,0.9147665616985575]","[0.22925055086552254,0.22925055086552254,0.22925055086552254,0.22925055086552254,0.22925055086552254,0.22925055086552254]","[1.2659478576881998E-7,1.0232887746593585E-7,9.45454729159541E-8,1.0667842706739617E-7,1.0507596142475288E-7,9.500332024242366E-8]","[0.11086394248599359,0.11081018673631193,0.11100708590731406,0.11100587071830124,0.11043974013084422,0.1108866024328864]","[0.6859320335241786,0.6859320335241786,0.6859320335241786,0.6859320335241786,0.6859320335241786,0.6859320335241786]","[74.77548270741302,74.77548270741302,74.77548270741302,74.77548270741302,74.77548270741302,74.77548270741302]","[-416.79038593120714,-391.364113299946,-424.46914463537166,-385.97692942445985,-375.51306565731085,-361.7800007905299]","[0.1222768481750742,0.1222768481750742,0.1222768481750742,0.1222768481750742,0.1222768481750742,0.1222768481750742]","[454.1622027644961,467.98404559211497,464.9121676988588,416.5878760644945,421.0710640998973,397.06155449082246]","[100,100,100,100,100,100]","[-0.4682182124351008,-0.4531005220001099,-0.42316200553861294,-0.4612193289007898,-0.45210790558267644,-0.44508243584877916]","[0.22938904577786104,0.3387755149024579,0.15309461293774637,0.1608347704810697,0.46213288357387866,0.24530649427849338]","[100,100,100,100,100,100]","[0.03772788281651129,0.03772788281651129,0.03772788281651129,0.03772788281651129,0.03772788281651129,0.03772788281651129]","[10,10,10,10,10,10]","[-637237338193151669,1186586196888300286,-1148572290666088960,151787414206423156,9088612029937329011,4810702903739196217]","[0.04083889537452515,0.04083889537452515,0.04083889537452515,0.04083889537452515,0.04083889537452515,0.04083889537452515]","[10,10,10,10,10,10]"
6300,6300,0.8793085443131342,0.7631636785436796,0.07240917345151393,0.010691942923334322,0.0,0.4317762718658112,4.7985313341078455E-5,0.1,-11.947647013423126,-0.47732996559855045,2,"[4.7985313341078455E-5,4.7985313341078455E-5]","[0.7631636785436796,0.7631636785436796]","[0.07240917345151393,0.07240917345151393]","[0.0,0.0]","[0.09300286537729949,0.10137183725764015]","[0.0,0.0]","[0.1,0.1]","[4.313635796304024,-28.208929823150275]","[0.8793085443131342,0.8793085443131342]","[184.24161513584264,177.75118338255334]","[100,100]","[-0.4885087892550613,-0.46615114194203955]","[1.9473477347188062,1.7957248319632073]","[100,100]","[0.010691942923334322,0.010691942923334322]","[10,10]","[1589359720011610444,-6167528275074334962]","[0.4317762718658112,0.4317762718658112]","[10,10]"
6300,6300,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-290.22989479801,-0.13251728569668036,19,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7,4.0792075532958994E-7,5.255195316408239E-7,4.373204494073986E-7,4.483453346865767E-7,4.318080067678096E-7,4.281330450080835E-7,4.667201434852069E-7,4.446703729268508E-7,5.402193786797279E-7,4.226206023684943E-7,3.619837333330149E-7,4.3548296852753545E-7,3.7668358037191875E-7,4.299705258879467E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172,0.10774727145239502,0.1103067690044323,0.10438782718979639,0.1084162019220649,0.10479270937144922,0.10691273930154944,0.1079825016650248,0.10896047859335416,0.10927738742152086,0.10961946131662106,0.1063489474671986,0.10371410986426506,0.10267746748933945,0.1072408242463919]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393,-252.17803212694454,-362.9973932546802,-239.87523128486868,-278.57395641015006,-325.6079003884727,-325.17143781634104,-290.22989479801,-258.5760198313862,-378.4854030268733,-339.1184375753157,-260.49855127449746,-247.64789578522561,-275.97195457952836,-279.27059951227955]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502,391.5707039253681,450.89499109114666,363.5439296490972,402.0608952297998,464.60592672994846,448.4741239483702,396.8030412538595,340.9782425314164,483.37749472068265,425.9959590513909,388.8511851625084,421.64927743648553,438.03451104657654,409.6985782395365]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576,-0.08611088519803266,-0.16087195246263494,-0.1187170586626777,-0.13251728569668036,-0.15123104166676019,-0.190567045306656,-0.10237718117719229,-0.0898177147783558,-0.16027487317401673,-0.11005253250524051,-0.13737123621010539,-0.13325457323377385,-0.17187805650195778,-0.13995715265854147]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569,0.6573803210030037,0.47063230998187255,1.30244552569155,0.7157557535599627,1.3172320368512087,0.8791088003193094,0.7931716390980663,0.6059429155185476,0.6088492691739329,0.5500124362336899,0.8576326307864339,1.250909561219505,1.0270207323780258,0.815930219118449]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718,7848105053841171450,-6336422892542089631,-3876261407975752502,-8139316775462521383,7608570130264303217,-426315479778641391,7017534791060862358,4589435314425413383,464063930356514126,7108442560323469131,-2694752083435049740,-4631510531059241221,-2571937647092259232,-5584197015607428843]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]"
6300,6300,0.1133174570050572,0.8348005325472238,0.23638621572189764,0.03724129389586818,0.728008839544953,0.042033458648332835,0.0,81.00682169209331,-365.00523616186115,-0.45925323002959056,9,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238,0.8348005325472238]","[0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764,0.23638621572189764]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.11098549200374443,0.11089296074681772,0.11062096964028516,0.11083257547305923,0.11100039863413172,0.11094813953294011,0.1109053623422518,0.11080806259105679,0.11062624470379404]","[0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953,0.728008839544953]","[81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331,81.00682169209331]","[-361.9813137844813,-386.0959569009909,-372.9687367105352,-354.4845271728542,-356.0082147354069,-365.00523616186115,-391.9071279775966,-334.3128806345515,-388.63694321169146]","[0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572,0.1133174570050572]","[387.7335776858145,445.9517668787281,422.7957792218473,428.97993522934183,414.5927556327338,401.8147980951587,455.8090462540524,411.3497293260983,441.3039002075978]","[100,100,100,100,100,100,100,100,100]","[-0.4751045961515359,-0.4410883909119749,-0.46154642438403304,-0.4008553636324946,-0.4610407182039358,-0.45925323002959056,-0.4431126630664422,-0.4289037387567254,-0.45960614791281773]","[0.17465961021978876,0.23841851285019727,0.4091501829938225,0.2849305552621878,0.21200945232818416,0.2449619565155797,0.26472077405047323,0.3434566618537844,0.3342359659185401]","[100,100,100,100,100,100,100,100,100]","[0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818,0.03724129389586818]","[10,10,10,10,10,10,10,10,10]","[7239125796265993322,-3350623232485019263,8487591899012179680,-731265119632180415,2867601059417892912,-4762003576390208245,-3029808383564467961,-1281717199858914058,-4047040983476981475]","[0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835,0.042033458648332835]","[10,10,10,10,10,10,10,10,10]"
6300,6300,0.24035872953968762,0.9874008573338642,0.17103075088556863,0.00665773222278301,0.8058434508972591,0.017169102872530314,0.0,81.98301304016555,-337.16335953767407,-0.48234411778473174,1,"[0.0]","[0.9874008573338642]","[0.17103075088556863]","[0.0]","[0.11039382715300812]","[0.8058434508972591]","[81.98301304016555]","[-337.16335953767407]","[0.24035872953968762]","[429.926515469995]","[100]","[-0.48234411778473174]","[0.42974492258043157]","[100]","[0.00665773222278301]","[10]","[1324807294856604087]","[0.017169102872530314]","[10]"
6300,6300,0.20593227021614413,0.5766558869758286,0.5629995928908338,0.0,1.959431680052472,0.5169244482158698,5.952834644928488E-5,1.1821145689964054,-156.27447623297604,-0.46377173606369804,6,"[5.952834644928488E-5,5.952834644928488E-5,5.952834644928488E-5,5.952834644928488E-5,5.952834644928488E-5,5.952834644928488E-5]","[0.5766558869758286,0.5766558869758286,0.5766558869758286,0.5766558869758286,0.5766558869758286,0.5766558869758286]","[0.5629995928908338,0.5629995928908338,0.5629995928908338,0.5629995928908338,0.5629995928908338,0.5629995928908338]","[0.0,2.521476912841744E-9,0.0,0.0,0.0,0.0]","[0.10702685819645241,0.10048033019602826,0.10688538706613196,0.10259155968649931,0.09306778921794448,0.10792503572219327]","[1.959431680052472,1.959431680052472,1.959431680052472,1.959431680052472,1.959431680052472,1.959431680052472]","[1.1821145689964054,1.1821145689964054,1.1821145689964054,1.1821145689964054,1.1821145689964054,1.1821145689964054]","[-157.85676118744317,-154.69219127850894,-163.41713990168262,-131.88544288000062,-120.88968177731161,-167.91226192622543]","[0.20593227021614413,0.20593227021614413,0.20593227021614413,0.20593227021614413,0.20593227021614413,0.20593227021614413]","[258.4254705871344,317.15304036967603,248.95857404074047,232.8545475713482,277.1735836659744,261.01557969309215]","[100,100,100,100,100,100]","[-0.4797036594891425,-0.4652874816166311,-0.3954057875527254,-0.462255990510765,-0.4446258199140912,-0.46785978325837574]","[0.7498490140323688,0.9186538617145124,0.8063307976797055,1.1596445190286007,0.9421328689006334,0.6387083774487935]","[100,100,100,100,100,100]","[0.0,0.0,0.0,0.0,0.0,0.0]","[10,10,10,10,10,10]","[5464207724472155869,6341668551757963361,-7205509514166454976,-1997305292248990207,-6223619256282043797,8924093156875380476]","[0.5169244482158698,0.5169244482158698,0.5169244482158698,0.5169244482158698,0.5169244482158698,0.5169244482158698]","[10,10,10,10,10,10]"
