evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
700,700,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-294.7645548389975,-0.12027684123869073,6,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7,4.0792075532958994E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172,0.10774727145239502]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393,-252.17803212694454]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502,391.5707039253681]","[100,100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576,-0.08611088519803266]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569,0.6573803210030037]","[100,100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718,7848105053841171450]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10,10]"
700,700,0.6686028829912278,0.60836899631856,0.4367175036683264,0.07236008627111787,2.8660454863811244,0.4788773233085729,5.9982162352430906E-5,65.48536825718878,-555.8088687905235,-0.18849517064761717,1,"[5.9982162352430906E-5]","[0.60836899631856]","[0.4367175036683264]","[5.129338457340696E-7]","[0.11110959233152866]","[2.8660454863811244]","[65.48536825718878]","[-555.8088687905235]","[0.6686028829912278]","[561.2768464918883]","[100]","[-0.18849517064761717]","[0.02494495880111087]","[100]","[0.07236008627111787]","[10]","[-9194866620577076033]","[0.4788773233085729]","[10]"
700,700,0.8740956852803405,0.705163942459195,0.3846228859489676,0.010724522961556852,0.383497668403311,0.4161469623431779,4.832488059424538E-5,0.1,-242.08467135581228,-0.47683779955954053,1,"[4.832488059424538E-5]","[0.705163942459195]","[0.3846228859489676]","[0.0]","[0.10346079592384211]","[0.383497668403311]","[0.1]","[-242.08467135581228]","[0.8740956852803405]","[370.0452522365698]","[100]","[-0.47683779955954053]","[0.9812639185360978]","[100]","[0.010724522961556852]","[10]","[-8486245178274240529]","[0.4161469623431779]","[10]"
700,700,0.1,0.4822715257209974,0.8520832638562021,0.0,2.413659077711325,0.5434129456767554,5.3900064126289215E-5,0.6673773051867522,-136.71556653181167,-0.43416575967064164,2,"[5.3900064126289215E-5,5.3900064126289215E-5]","[0.4822715257209974,0.4822715257209974]","[0.8520832638562021,0.8520832638562021]","[0.0,0.0]","[0.10069442789301769,0.10769606666735637]","[2.413659077711325,2.413659077711325]","[0.6673773051867522,0.6673773051867522]","[-114.15231458627285,-159.2788184773505]","[0.1,0.1]","[222.86662240397123,233.7841960320059]","[100,100]","[-0.46862628865083616,-0.39970523069044706]","[1.2424081206399467,0.7209882204949574]","[100,100]","[0.0,0.0]","[10,10]","[6231556852570730402,-327886248359384349]","[0.5434129456767554,0.5434129456767554]","[10,10]"
700,700,0.4106529042276459,0.9663339446097938,0.592926017263757,0.9848114631091006,0.0,0.8850300120634655,6.04379883037421E-5,7.6573657082621684,-172.53154340628694,-0.3473588468372119,3,"[6.04379883037421E-5,6.04379883037421E-5,6.04379883037421E-5]","[0.9663339446097938,0.9663339446097938,0.9663339446097938]","[0.592926017263757,0.592926017263757,0.592926017263757]","[4.286463414781463E-8,2.3380709535171625E-8,7.533784183555293E-8]","[0.1031971555675683,0.0991371480342152,0.10869976026510632]","[0.0,0.0,0.0]","[7.6573657082621684,7.6573657082621684,7.6573657082621684]","[-172.53154340628694,-135.1541390715949,-371.0577930934861]","[0.4106529042276459,0.4106529042276459,0.4106529042276459]","[288.7013515390655,353.4612491042532,433.85936024344176]","[100,100,100]","[-0.3473588468372119,-0.4508044838420579,-0.2144845774538268]","[0.8266284050612448,1.1290050390937199,0.7712508556273562]","[100,100,100]","[0.9848114631091006,0.9848114631091006,0.9848114631091006]","[10,10,10]","[-7127731147270277347,-1493255252419101104,-3557760869959358093]","[0.8850300120634655,0.8850300120634655,0.8850300120634655]","[10,10,10]"
700,700,0.6669770804526267,0.6145310320925078,0.4389430737648649,0.06666283780951592,2.8643937403739566,0.48024349105299263,7.869685493915397E-5,65.54692780343373,-533.4020652160581,-0.3223915635031541,1,"[7.869685493915397E-5]","[0.6145310320925078]","[0.4389430737648649]","[6.805964324283079E-7]","[0.11111067062735]","[2.8643937403739566]","[65.54692780343373]","[-533.4020652160581]","[0.6669770804526267]","[535.960671624112]","[100]","[-0.3223915635031541]","[0.01042503370908296]","[100]","[0.06666283780951592]","[10]","[-9001118386202957012]","[0.48024349105299263]","[10]"
700,700,0.903399172211521,0.7193335163110784,0.36675135444381884,0.05987864815258609,2.3509173170803157,0.5410162847102709,5.090732977727718E-5,78.96463916420537,-542.2742492184102,-0.2976079809641546,1,"[5.090732977727718E-5]","[0.7193335163110784]","[0.36675135444381884]","[6.897782471767006E-7]","[0.11110362857026194]","[2.3509173170803157]","[78.96463916420537]","[-542.2742492184102]","[0.903399172211521]","[556.2155871284293]","[100]","[-0.2976079809641546]","[0.06055137265202078]","[100]","[0.05987864815258609]","[10]","[-2136535717489005404]","[0.5410162847102709]","[10]"
700,700,0.8923331822004551,0.5943567698328234,0.3183464794127032,0.0,0.2622251704391434,0.5372021862846967,4.688941873998818E-5,31.912686807971003,-218.38081471020027,-0.3777779015427084,2,"[4.688941873998818E-5,4.688941873998818E-5]","[0.5943567698328234,0.5943567698328234]","[0.3183464794127032,0.3183464794127032]","[2.012063212116405E-7,1.521316087209965E-7]","[0.09397905574412983,0.10834196657106193]","[0.2622251704391434,0.2622251704391434]","[31.912686807971003,31.912686807971003]","[-187.11272067504854,-249.648908745352]","[0.8923331822004551,0.8923331822004551]","[389.02512744186816,301.96318107238454]","[100,100]","[-0.420406029949487,-0.3351497731359298]","[1.1447844460027028,0.8040351699787004]","[100,100]","[0.0,0.0]","[10,10]","[-3470504784001818200,-5482764355773779441]","[0.5372021862846967,0.5372021862846967]","[10,10]"
700,700,0.8122199583705505,0.6282626774235518,0.3657582658401946,0.036957843214662216,2.4240668937016565,0.5225764478596147,5.0263125359271943E-5,65.73671865442242,-547.3646372419704,-0.1983194734619674,1,"[5.0263125359271943E-5]","[0.6282626774235518]","[0.3657582658401946]","[4.848735564690079E-7]","[0.11109122029502011]","[2.4240668937016565]","[65.73671865442242]","[-547.3646372419704]","[0.8122199583705505]","[553.4026494644658]","[100]","[-0.1983194734619674]","[0.08842097658606242]","[100]","[0.036957843214662216]","[10]","[118435800430749562]","[0.5225764478596147]","[10]"
700,700,0.6332771011475244,0.48652349472280926,0.5104767882901693,0.04764239907569984,2.854316631487,0.43835572470074924,5.0348537706309586E-5,65.20689791332374,-531.1617869900779,-0.17023785156290053,2,"[5.0348537706309586E-5,5.0348537706309586E-5]","[0.48652349472280926,0.48652349472280926]","[0.5104767882901693,0.5104767882901693]","[4.831627958570191E-7,4.224444765915648E-7]","[0.11111052758193612,0.11110890324945247]","[2.854316631487,2.854316631487]","[65.20689791332374,65.20689791332374]","[-556.9281913056093,-505.39538267454645]","[0.6332771011475244,0.6332771011475244]","[560.8654686247173,509.12158975276134]","[100,100]","[-0.2823128147191395,-0.05816288840666158]","[0.013734002461288367,0.02869289582264415]","[100,100]","[0.04764239907569984,0.04764239907569984]","[10,10]","[-6400386624793628957,8471031726596142597]","[0.43835572470074924,0.43835572470074924]","[10,10]"
