evolution$generation,evolution$evaluated,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,averageFitness,diversity,evolution$samples,interactionProba,crossOverProba,crossOverShare,interactionIntensity,fitnessEntropy,mutationAmplitude,distanceDecay,averageFitness,firmSizeScaling,bestFitness,largestFirmSize,diversity,fitnessDiff,timeSteps,mutationProba,firmsNumber,replication,currentProductShare,genomeSize
2000,2000,0.47936918787462657,0.7095224929946233,0.2392874572493307,0.04294023690093464,3.2062602191605043,0.46856295582009605,4.906525052638315E-5,62.17127038470612,-556.8638020683208,-0.23312597633554688,1,"[4.906525052638315E-5]","[0.7095224929946233]","[0.2392874572493307]","[3.3636578132912194E-7]","[0.11101736195043284]","[3.2062602191605043]","[62.17127038470612]","[-556.8638020683208]","[0.47936918787462657]","[586.4656181258314]","[100]","[-0.23312597633554688]","[0.1558288499475046]","[100]","[0.04294023690093464]","[10]","[2199131786582636105]","[0.46856295582009605]","[10]"
2000,2000,0.7667719594694485,0.26734453012697224,0.5469008914340292,0.18205795777244468,3.666492019332871,0.5599049963684178,4.4380194342237146E-5,75.28010958922538,-294.7645548389975,-0.12788710785045787,10,"[4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5,4.4380194342237146E-5]","[0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224,0.26734453012697224]","[0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292,0.5469008914340292]","[4.152706788490423E-7,4.2629556412822057E-7,4.979573184428783E-7,4.2445808324835743E-7,4.1343319796917925E-7,4.0792075532958994E-7,5.255195316408239E-7,4.373204494073986E-7,4.483453346865767E-7,4.318080067678096E-7]","[0.10741054045653661,0.10862519900453546,0.10925850843459994,0.10353350864174994,0.1103425779953172,0.10774727145239502,0.1103067690044323,0.10438782718979639,0.1084162019220649,0.10479270937144922]","[3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871,3.666492019332871]","[75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538,75.28010958922538]","[-290.4955740653075,-301.77205575517496,-299.03353561268756,-199.59607290749577,-354.1351672939393,-252.17803212694454,-362.9973932546802,-239.87523128486868,-278.57395641015006,-325.6079003884727]","[0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485,0.7667719594694485]","[417.06049948364046,395.6166377085314,403.6573885815734,362.5333274272876,471.6606104867502,391.5707039253681,450.89499109114666,363.5439296490972,402.0608952297998,464.60592672994846]","[100,100,100,100,100,100,100,100,100,100]","[-0.12884724493233937,-0.1269269707685764,-0.10254791730257186,-0.11362671170880506,-0.16335851123513576,-0.08611088519803266,-0.16087195246263494,-0.1187170586626777,-0.13251728569668036,-0.15123104166676019]","[0.7320720723588137,0.6878356918023242,0.589679743985519,1.3790105857280825,0.4534306027520569,0.6573803210030037,0.47063230998187255,1.30244552569155,0.7157557535599627,1.3172320368512087]","[100,100,100,100,100,100,100,100,100,100]","[0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468,0.18205795777244468]","[10,10,10,10,10,10,10,10,10,10]","[1841390928237244888,-1134064512058836460,-6586837085092760040,5038381072617585627,3452657235158970718,7848105053841171450,-6336422892542089631,-3876261407975752502,-8139316775462521383,7608570130264303217]","[0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178,0.5599049963684178]","[10,10,10,10,10,10,10,10,10,10]"
2000,2000,0.9027141958246883,0.6895894916064734,0.39302022149682847,0.03424309098721011,1.4629473218952866,0.521902735874402,5.0367806663970105E-5,63.638198201896245,-434.9552750546915,-0.48763131750801525,1,"[5.0367806663970105E-5]","[0.6895894916064734]","[0.39302022149682847]","[5.058373812629135E-7]","[0.11106204918446418]","[1.4629473218952866]","[63.638198201896245]","[-434.9552750546915]","[0.9027141958246883]","[459.06345202376633]","[100]","[-0.48763131750801525]","[0.10758256637847936]","[100]","[0.03424309098721011]","[10]","[8351211764963262414]","[0.521902735874402]","[10]"
2000,2000,0.8509882135146503,0.6593128174886996,0.28886133803226144,0.00897738914476266,0.014785962546302114,0.4307683050197956,4.80785594639751E-5,0.2350376568649945,-124.65262733211878,-0.44122522655591434,5,"[4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5,4.80785594639751E-5]","[0.6593128174886996,0.6593128174886996,0.6593128174886996,0.6593128174886996,0.6593128174886996]","[0.28886133803226144,0.28886133803226144,0.28886133803226144,0.28886133803226144,0.28886133803226144]","[0.0,0.0,0.0,0.0,0.0]","[0.0983393616526676,0.10151973741059976,0.09571491503884484,0.1026701657466678,0.0960233310015718]","[0.014785962546302114,0.014785962546302114,0.014785962546302114,0.014785962546302114,0.014785962546302114]","[0.2350376568649945,0.2350376568649945,0.2350376568649945,0.2350376568649945,0.2350376568649945]","[-124.65262733211878,-86.75355881510171,-143.4267689078402,-127.63933724484839,-73.33368554333589]","[0.8509882135146503,0.8509882135146503,0.8509882135146503,0.8509882135146503,0.8509882135146503]","[292.55352706654867,290.3104382196491,339.9697102671518,362.2455172622589,194.4362220810571]","[100,100,100,100,100]","[-0.44432256909275997,-0.3503079212627226,-0.4323016851967034,-0.44122522655591434,-0.4612752229118707]","[1.0916023993712267,1.6906639403972712,0.9979306542565447,1.6646201862175136,1.2693523752669829]","[100,100,100,100,100]","[0.00897738914476266,0.00897738914476266,0.00897738914476266,0.00897738914476266,0.00897738914476266]","[10,10,10,10,10]","[-1784404642947680697,3174908265761841904,7307041637271057478,-4255401945310153957,7163247099890612162]","[0.4307683050197956,0.4307683050197956,0.4307683050197956,0.4307683050197956,0.4307683050197956]","[10,10,10,10,10]"
2000,2000,1.2654661309534434,0.0,0.054773141155463986,0.07026735202465058,1.4829040979718735,0.44119626451509353,6.972742664513135E-5,82.90258739795657,-235.29815886540644,-0.423129151200316,5,"[6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5,6.972742664513135E-5]","[0.0,0.0,0.0,0.0,0.0]","[0.054773141155463986,0.054773141155463986,0.054773141155463986,0.054773141155463986,0.054773141155463986]","[8.11315285305833E-7,9.361330215067303E-7,6.968990271216775E-7,8.165160243142039E-7,9.153300654732474E-7]","[0.10475603183805662,0.10703312121997412,0.10331004047829435,0.10688205707601303,0.10475351766866352]","[1.4829040979718735,1.4829040979718735,1.4829040979718735,1.4829040979718735,1.4829040979718735]","[82.90258739795657,82.90258739795657,82.90258739795657,82.90258739795657,82.90258739795657]","[-235.29815886540644,-242.98384294646746,-219.69863224890977,-257.24570825640865,-232.4168772255889]","[1.2654661309534434,1.2654661309534434,1.2654661309534434,1.2654661309534434,1.2654661309534434]","[353.44223926261077,396.00190377111085,370.50607868423094,370.3065860578965,420.5763468797622]","[100,100,100,100,100]","[-0.423129151200316,-0.4285353165407943,-0.40823447821613923,-0.46673289062190937,-0.4212298750003516]","[0.9329521986927061,0.7540860407654432,1.0406712258446107,0.8124220206754359,0.8472879806180141]","[100,100,100,100,100]","[0.07026735202465058,0.07026735202465058,0.07026735202465058,0.07026735202465058,0.07026735202465058]","[10,10,10,10,10]","[-3021788178455385180,-7215480272587245736,-345704504687451606,7593284036313923543,4217557843310427737]","[0.44119626451509353,0.44119626451509353,0.44119626451509353,0.44119626451509353,0.44119626451509353]","[10,10,10,10,10]"
2000,2000,0.4414201099291719,0.708592515615188,0.2238436909390816,0.04881180983894619,3.208925725176077,0.4629499319711688,4.915882121694143E-5,59.22375391744562,-555.3371765908498,-0.3044010075347055,1,"[4.915882121694143E-5]","[0.708592515615188]","[0.2238436909390816]","[3.45059776640632E-7]","[0.11110958902670819]","[3.208925725176077]","[59.22375391744562]","[-555.3371765908498]","[0.4414201099291719]","[560.1461048734819]","[100]","[-0.3044010075347055]","[0.026702133611668667]","[100]","[0.04881180983894619]","[10]","[-4091506414486871254]","[0.4629499319711688]","[10]"
2000,2000,0.2374879444588314,0.5538934154243198,0.6445722480682802,0.0,1.8521936502657912,0.519587607719105,5.8461835876291484E-5,0.1,-141.07537374795197,-0.4690268275527465,2,"[5.8461835876291484E-5,5.8461835876291484E-5]","[0.5538934154243198,0.5538934154243198]","[0.6445722480682802,0.6445722480682802]","[0.0,0.0]","[0.10554177343014706,0.10482494624952421]","[1.8521936502657912,1.8521936502657912]","[0.1,0.1]","[-161.42434165664977,-120.72640583925416]","[0.2374879444588314,0.2374879444588314]","[254.2523474295172,200.01241248904554]","[100,100]","[-0.4716843892617936,-0.46636926584369937]","[0.8282037116728332,0.9286760361194721]","[100,100]","[0.0,0.0]","[10,10]","[4837166410351160802,-4185535298268978142]","[0.519587607719105,0.519587607719105]","[10,10]"
2000,2000,0.49375491391851556,0.7504825990793468,0.5398250838240951,1.0,0.0,0.734474127213356,6.705119361332323E-5,0.1,-48.88587259282784,-0.45717386487927375,5,"[6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5,6.705119361332323E-5]","[0.7504825990793468,0.7504825990793468,0.7504825990793468,0.7504825990793468,0.7504825990793468]","[0.5398250838240951,0.5398250838240951,0.5398250838240951,0.5398250838240951,0.5398250838240951]","[0.0,0.0,0.0,0.0,0.0]","[0.09703418588166128,0.09732126668262857,0.09313232338351832,0.09846746946736443,0.1034731639748627]","[0.0,0.0,0.0,0.0,0.0]","[0.1,0.1,0.1,0.1,0.1]","[-33.71076779776711,-48.88587259282784,-66.03688894763641,26.98538453064205,-50.48721647643565]","[0.49375491391851556,0.49375491391851556,0.49375491391851556,0.49375491391851556,0.49375491391851556]","[220.63894098164502,197.0262184646307,276.6759678407815,28.13638697911794,107.56365100751661]","[100,100,100,100,100]","[-0.45717386487927375,-0.46258444895108974,-0.46109168281139257,-0.4500389313946884,-0.43139200980006726]","[1.3841919568185346,1.7328074074063995,1.1388767615692175,5.0658106898993385,1.4145211924870116]","[100,100,100,100,100]","[1.0,1.0,1.0,1.0,1.0]","[10,10,10,10,10]","[5470826533171671954,7654370181974372439,6444315195477998875,-6243291593622642144,8723877391945218945]","[0.734474127213356,0.734474127213356,0.734474127213356,0.734474127213356,0.734474127213356]","[10,10,10,10,10]"
2000,2000,0.1590954690610818,0.5063501200198064,0.7942196803397267,0.0,2.4548151651309813,0.5557702998715736,5.7833618792044345E-5,0.1,-113.91157710098875,-0.47457803299225254,4,"[5.7833618792044345E-5,5.7833618792044345E-5,5.7833618792044345E-5,5.7833618792044345E-5]","[0.5063501200198064,0.5063501200198064,0.5063501200198064,0.5063501200198064]","[0.7942196803397267,0.7942196803397267,0.7942196803397267,0.7942196803397267]","[0.0,0.0,0.0,0.0]","[0.10425643560647097,0.10105102247616454,0.10346851632334499,0.10594559746766895]","[2.4548151651309813,2.4548151651309813,2.4548151651309813,2.4548151651309813]","[0.1,0.1,0.1,0.1]","[-120.63689372827857,-70.97568451956188,-107.18626047369895,-134.38220326707332]","[0.1590954690610818,0.1590954690610818,0.1590954690610818,0.1590954690610818]","[256.0120556448024,161.72870888387178,212.87639693386393,268.73768313228686]","[100,100,100,100]","[-0.47575843847573723,-0.4733976275087679,-0.42094802444789214,-0.4869287015005001]","[0.7967359347337503,1.533763734950043,0.8549545024811331,0.7513508109994409]","[100,100,100,100]","[0.0,0.0,0.0,0.0]","[10,10,10,10]","[-4443273301522989359,-5543489130923219848,5590258278601275160,9056132459983322202]","[0.5557702998715736,0.5557702998715736,0.5557702998715736,0.5557702998715736]","[10,10,10,10]"
2000,2000,0.24607094689660447,0.5855647518967723,0.7180011682040108,0.0025102544354672638,1.64108218662371,0.6241003505527856,5.820220593035887E-5,0.28494475353042337,-315.75881164015493,-0.46565951636086617,3,"[5.820220593035887E-5,5.820220593035887E-5,5.820220593035887E-5]","[0.5855647518967723,0.5855647518967723,0.5855647518967723]","[0.7180011682040108,0.7180011682040108,0.7180011682040108]","[0.0,0.0,0.0]","[0.10984320909950862,0.1077768756848201,0.11002569074071239]","[1.64108218662371,1.64108218662371,1.64108218662371]","[0.28494475353042337,0.28494475353042337,0.28494475353042337]","[-316.0014225174647,-255.522230019675,-315.75881164015493]","[0.24607094689660447,0.24607094689660447,0.24607094689660447]","[406.2984534700615,328.33621186337484,416.95984607650894]","[100,100,100]","[-0.46565951636086617,-0.4207229479819302,-0.47315397175699153]","[0.4306512472312069,0.8655136927580526,0.48899042833909984]","[100,100,100]","[0.0025102544354672638,0.0025102544354672638,0.0025102544354672638]","[10,10,10]","[-3493878253863981332,1500475501557823688,-266976379364329892]","[0.6241003505527856,0.6241003505527856,0.6241003505527856]","[10,10,10]"
