output,firmSizeScaling,crossOverProba,crossOverShare,mutationProba,mutationAmplitude,currentProductShare,interactionProba,distanceDecay,replication
bestFitness,0.0010316882450661824,0.0015182447383361168,9.441491089626571E-4,0.4077343628059852,0.1734368834012501,0.03730167838747196,5.95039679952038E-4,9.317560941645062E-4,0.0027799155964373704
averageFitness,0.02022945675045153,6.539725277964173E-4,-1.7345838520976345E-4,0.36424106961531194,0.213127179845052,0.024315776479832504,-3.349042887979066E-4,4.742905525024812E-4,8.575911019170681E-4
fitnessDiff,7.366695281778482E-4,-1.5663479123872472E-4,-3.8697063538105413E-4,0.003324861795385823,-3.538487129504049E-4,-3.7862288872194235E-4,-5.108756570430101E-4,-1.6796978468535808E-4,-4.942290926011099E-4
fitnessEntropy,0.14487322581346068,-0.026399546527349618,0.2677214030264619,0.4817375965780711,0.014265476327174967,0.22536786418190946,0.161560141810986,-0.0019659007202739898,0.05186801973703158
diversity,0.006862207753372857,0.0011825661594781522,0.014855689732672124,0.4525478421989381,0.21377111315390127,-0.004561629719535253,0.0029193617598954713,0.005819540449967404,0.00611946994593582
interactionIntensity,0.03298589639547082,0.0020410217708695167,0.0,0.0014860232014219544,0.0,0.0,0.41608153615217286,0.35971657799316936,0.005352945894678123
